category,Food Name,calories,protein,fat,carbohydrate,Food_Exchange
grain,"귀리, 겉귀리, 도정, 생것",373,11.4,3.7,73.5,31.3
grain,"귀리, 쌀귀리, 도정, 생것",371,14.3,3.8,70.4,32.7
grain,"귀리, 오트밀",382,13.2,8.2,64.9,35.4
grain,"기장, 도정, 생것",360,11.2,1.9,74.6,30.8
grain,"기장, 찰기장, 도정, 생것",365,12.46,3.09,71.91,32.0
grain,"메밀, 도정, 생것",363,13.64,3.38,67.84,33.9
grain,"메밀, 도정, 가루",374,12.96,3.29,71.36,32.2
grain,"메밀 국수, 생것",291,7.59,0.96,61.14,37.6
grain,"메밀 국수, 생것, 삶은것",124,3.54,0.44,25.73,89.4
grain,"메밀 국수, 말린것",372,13.58,1.27,74.41,30.9
grain,"메밀 국수, 말린것, 삶은것",114,4.28,0.4,22.65,101.5
grain,"메밀 냉면, 말린것",360,10.74,1.44,73.66,31.2
grain,"메밀 냉면, 말린것, 삶은것",141,4.22,0.59,28.71,80.1
grain,"메밀묵, 생것",58,0.86,0.23,12.8,179.7
grain,"메밀묵, 가루",371,8.33,2.04,77.39,29.7
grain,"멥쌀, 배아미, 생것",357,6.5,2,75.8,30.3
grain,"멥쌀, 백미, 생것",363,6.4,0.4,79.5,28.9
grain,"멥쌀, 백미, 가루 ",362,6.2,0.9,78.5,29.3
grain,"멥쌀, 칠분도미, 생것",368,6.9,1.1,79.1,29.1
grain,"멥쌀, 고아미2호, 백미, 생것",379,8.9,2.7,76.4,30.1
grain,"멥쌀, 고아미2호, 현미, 생것",374,9.6,4.6,73.3,31.4
grain,"멥쌀, 농림나1호, 칠분도미, 생것",370,5.6,1.9,79.2,29.0
grain,"멥쌀, 농림나1호, 현미, 생것",371,5.8,4.8,75.3,30.5
grain,"멥쌀, 미국산, 백미, 생것",365,5.7,0.2,81.2,28.3
grain,"멥쌀, 발아현미, 현미, 생것",371,7,2.3,79.4,29.0
grain,"멥쌀, 밭벼, 백미, 생것",357,9.3,0.9,74.5,30.9
grain,"멥쌀, 밭벼, 칠분도미, 생것",358,9.5,1.5,73.4,31.3
grain,"멥쌀, 새추청벼, 백미, 생것",366,6.1,0.2,80.9,28.4
grain,"멥쌀, 수라벼, 백미, 생것",346,5.7,0.1,76.7,30.0
grain,"멥쌀, 일미벼, 백미, 생것",372,7.7,1,79.3,29.0
grain,"멥쌀, 일미벼, 현미, 생것",354,9,1,76.2,30.2
grain,"멥쌀, 일본산, 백미, 생것",367,5,0.4,81.8,28.1
